ID,PLIP_score
IJW_docked_complex,0.4000
IM8_docked_complex,0.4000
IQM_docked_complex,0.4000
IQT_docked_complex,0.4000
IR7_docked_complex,0.4000
IT5_docked_complex,0.4000
ITK_docked_complex,0.4000
IYX_docked_complex,0.4000
IYZ_docked_complex,0.4000
IZM_docked_complex,0.4000
J3Y_docked_complex,0.4000
J4B_docked_complex,0.4000
J56_docked_complex,0.4000
J5Z_docked_complex,0.4000
J88_docked_complex,0.4000
J8I_docked_complex,0.4000
JDD_docked_complex,0.4000
JE7_docked_complex,0.4000
JF8_docked_complex,0.4000
JFU_docked_complex,0.4000
JH9_docked_complex,0.4000
JJB_docked_complex,0.4000
JJY_docked_complex,0.4000
JK8_docked_complex,0.4000
JOL_docked_complex,0.4000
JP2_docked_complex,0.4000
JQU_docked_complex,0.4000
JT9_docked_complex,0.4000
JUK_docked_complex,0.4000
JXV_docked_complex,0.4000
JZY_docked_complex,0.4000
K3C_docked_complex,0.4000
K46_docked_complex,0.4000
K4D_docked_complex,0.4000
K56_docked_complex,0.4000
K8I_docked_complex,0.4000
K9B_docked_complex,0.4000
KCU_docked_complex,0.4000
KIS_docked_complex,0.4000
KKG_docked_complex,0.4000
KLX_docked_complex,0.4000
KNF_docked_complex,0.4000
KNT_docked_complex,0.4000
KO8_docked_complex,0.4000
KRJ_docked_complex,0.4000
KSD_docked_complex,0.4000
KT7_docked_complex,0.4000
KTR_docked_complex,0.4000
KUK_docked_complex,0.4000
KYV_docked_complex,0.4000
KZQ_docked_complex,0.4000
L08_docked_complex,0.4000
L1H_docked_complex,0.4000
L6E_docked_complex,0.4000
L7K_docked_complex,0.4000
L9G_docked_complex,0.4000
LBB_docked_complex,0.4000
LC0_docked_complex,0.4000
LDL_docked_complex,0.4000
LIE_docked_complex,0.4000
LJV_docked_complex,0.4000
LO9_docked_complex,0.4000
LOO_docked_complex,0.4000
LP7_docked_complex,0.4000
LP8_docked_complex,0.4000
LQF_docked_complex,0.4000
LRN_docked_complex,0.4000
LUF_docked_complex,0.4000
LW7_docked_complex,0.4000
LWJ_docked_complex,0.4000
LY5_docked_complex,0.4000
M1R_docked_complex,0.4000
M35_docked_complex,0.4000
M4H_docked_complex,0.4000
M7K_docked_complex,0.4000
M7O_docked_complex,0.4000
MG9_docked_complex,0.4000
MK2_docked_complex,0.4000
MON_docked_complex,0.4000
MQM_docked_complex,0.4000
MRO_docked_complex,0.4000
MSI_docked_complex,0.4000
MSY_docked_complex,0.4000
MV8_docked_complex,0.4000
MVM_docked_complex,0.4000
MX9_docked_complex,0.4000
MXB_docked_complex,0.4000
N2E_docked_complex,0.4000
N3P_docked_complex,0.4000
N7U_docked_complex,0.4000
N94_docked_complex,0.4000
NBK_docked_complex,0.4000
NC9_docked_complex,0.4000
NFI_docked_complex,0.4000
NG0_docked_complex,0.4000
NHH_docked_complex,0.4000
NHI_docked_complex,0.4000
NKS_docked_complex,0.4000
NL3_docked_complex,0.4000
NM4_docked_complex,0.4000
NN7_docked_complex,0.4000
NNC_docked_complex,0.4000
NPM_docked_complex,0.4000
NT5_docked_complex,0.4000
NU9_docked_complex,0.4000
O0W_docked_complex,0.4000
O2H_docked_complex,0.4000
O3Y_docked_complex,0.4000
O46_docked_complex,0.4000
O4U_docked_complex,0.4000
O4W_docked_complex,0.4000
O5J_docked_complex,0.4000
O6D_docked_complex,0.4000
O6R_docked_complex,0.4000
O76_docked_complex,0.4000
O8A_docked_complex,0.4000
OE4_docked_complex,0.4000
OGK_docked_complex,0.4000
OH8_docked_complex,0.4000
OI4_docked_complex,0.4000
OJA_docked_complex,0.4000
OJG_docked_complex,0.4000
OO7_docked_complex,0.4000
OU3_docked_complex,0.4000
OU5_docked_complex,0.4000
OUY_docked_complex,0.4000
OX0_docked_complex,0.4000
OY4_docked_complex,0.4000
OZM_docked_complex,0.4000
OZR_docked_complex,0.4000
P0X_docked_complex,0.4000
P1S_docked_complex,0.4000
P2H_docked_complex,0.4000
P2Q_docked_complex,0.4000
P46_docked_complex,0.4000
P4O_docked_complex,0.4000
P54_docked_complex,0.4000
P5G_docked_complex,0.4000
P9X_docked_complex,0.4000
PFD_docked_complex,0.4000
PFK_docked_complex,0.4000
PGJ_docked_complex,0.4000
PKK_docked_complex,0.4000
POX_docked_complex,0.4000
PQC_docked_complex,0.4000
PRE_docked_complex,0.4000
PV8_docked_complex,0.4000
PXR_docked_complex,0.4000
PY9_docked_complex,0.4000
PZS_docked_complex,0.4000
Q0C_docked_complex,0.4000
Q1Q_docked_complex,0.4000
Q2B_docked_complex,0.4000
Q4O_docked_complex,0.4000
Q80_docked_complex,0.4000
Q9J_docked_complex,0.4000
QEQ_docked_complex,0.4000
QFX_docked_complex,0.4000
QJ9_docked_complex,0.4000
QJC_docked_complex,0.4000
QKF_docked_complex,0.4000
QP7_docked_complex,0.4000
QR3_docked_complex,0.4000
QRW_docked_complex,0.4000
QWR_docked_complex,0.4000
R0G_docked_complex,0.4000
R23_docked_complex,0.4000
R2I_docked_complex,0.4000
R3Z_docked_complex,0.4000
R64_docked_complex,0.4000
RLO_docked_complex,0.4000
RQ6_docked_complex,0.4000
RQP_docked_complex,0.4000
S0X_docked_complex,0.4000
SD5_docked_complex,0.4000
SDJ_docked_complex,0.4000
SDT_docked_complex,0.4000
SF7_docked_complex,0.4000
SG8_docked_complex,0.4000
SIQ_docked_complex,0.4000
SJ6_docked_complex,0.4000
SLW_docked_complex,0.4000
SNT_docked_complex,0.4000
SUV_docked_complex,0.4000
