ID,SMILES,affinity,COM,RMSD,mcs_size,PLIP_sim_1MVN,PLIP_sim_1QZU_pred,Cluster
8RW,c1ccc2c(c1)c(cn2C(=O)N)NC(=O)N3CCC[C@H]3C(=O)Nc4cccc(c4)OC(F)(F)F,-8.44,33.1510892132967,6.33403070220041,3,0,0,373
P8O,c1ccc2c(c1)CC3([C@@H]2N)CCN(CC3)c4[nH]c5c(n4)ncc(n5)Sc6cccnc6C(F)(F)F,-8.13,31.2007357271842,7.0527480956646,2,0,0,1194
9RY,c1ccc(cc1)NC(=O)NCc2cccc(c2)n3c(c(cn3)c4cc5cncnc5[nH]4)O,-8.23,32.2440701695895,5.75439820270765,6,0,0,no
XOV,c1cc(c(cc1F)Cl)OCC2CCN(CC2)C(=O)C3CC4(C3)COC(=O)N4,-7.05,4.89731026397795,0.425926880784177,4,0.2,0.2,no
00G,c1ccn(c1)CCOc2ccc3c(c2)cc[nH]3,-7.37,3.16210387449843,1.00449239709314,6,0,0,no
SJM,CC#CC(=O)Nc1cccc2c1ccc(c2Oc3c(cccn3)c4ccnc(n4)N[C@H]5CCCNC5)C,-8.53,33.4714694078502,4.62468472464246,5,0,0,2072
A1BIV,CN1c2ccccc2[C@H](C1=O)c3c4c([nH]c3c5ccc(cc5)Cl)N(C(=O)NC4=O)C,-8.41,33.1471120078432,2.4146595220671,4,0,0,2455
00J,Cc1c(c2ccc(cc2o1)Oc3ccnc4c3ccc(c4)OCCN5CCOCC5)C(=O)NC,-7.89,26.8674893754526,5.46691426629816,6,0,0,no
8ZA,CCCCN1CCC(CC1)N(Cc2ccccc2)C(=O)Nc3ccc(c(c3)Cl)Cl,-7.06,4.34499816879696,0.659721428412214,9,0,0.4,1831
A1III,C[C@@H](n1cc(nn1)c2cc(cnc2)N(C)C)N3C=CC(=CC3=O)N4CCC[C@H](C4)NCC5CC5,-7.32,4.45674987012484,1.7594225661351,6,0,0.2,no
X1Q,CCNCc1nnnn1/C=C/c2cccc(c2C)c3ccccc3,-7.05,4.92387778488108,5.0355219476111,10,0.4,0,no
MS5,COc1cccc(c1)C[N@]2CCc3cc(c(cc3C2)OC)OS(=O)(=O)N,-7.17,3.88519288454209,1.5015939610944,4,0.2,0,1005
C52,CC1=C(C(=O)N(C=C1)c2cccc(c2)C(F)(F)F)c3ccc4c(c3)cnc(n4)N,-8.15,31.6562486955992,1.54651217539089,4,0,0,no
JSW,Cc1nnc(o1)N2CCC(CC2)C(=O)N3[C@@H](CCN3)c4cc(cc(c4)F)F,-7.11,3.11148616559791,2.47236723945167,4,0,0.2,no
